flight_number,date_utc,rocket_name,launch_site,site_location,payload_mass,success
84,2019-11-11T14:56:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
85,2019-12-05T17:29:23.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,5000.0,1
86,2019-12-17T00:10:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,6800.0,1
87,2020-01-07T02:19:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
89,2020-01-29T14:06:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
90,2020-02-17T15:05:55.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
91,2020-03-07T04:50:31.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,1977.0,1
92,2020-03-18T12:16:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
93,2020-04-22T19:30:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
94,2020-05-30T19:22:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,9525.0,1
95,2020-06-04T01:25:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
96,2020-06-13T09:21:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
97,2020-06-30T19:55:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,3880.0,1
99,2020-08-07T05:12:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
100,2020-08-18T14:31:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
101,2020-08-30T23:18:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,1600.0,1
102,2020-09-03T12:46:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
103,2020-10-06T11:29:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
104,2020-10-18T12:25:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
105,2020-10-24T15:31:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
106,2020-11-05T23:24:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,3681.0,1
108,2020-11-21T17:17:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,1440.0,1
109,2020-11-25T02:13:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
110,2020-12-06T16:17:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,2972.0,1
111,2020-12-13T17:30:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,7000.0,1
113,2021-01-08T02:15:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,3500.0,1
114,2021-01-20T13:02:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
116,2021-02-04T06:19:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
117,2021-02-16T03:59:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
118,2021-03-04T08:24:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
119,2021-03-11T08:13:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
120,2021-03-14T10:01:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
121,2021-03-24T08:28:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
122,2021-04-07T16:34:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
124,2021-04-29T03:44:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
125,2021-05-04T19:01:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,15600.0,1
126,2021-05-09T06:42:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
127,2021-05-15T22:54:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13520.0,1
128,2021-05-26T18:59:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,15600.0,1
129,2021-06-03T17:29:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,3328.0,1
130,2021-06-06T04:26:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,7000.0,1
131,2021-06-17T16:09:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,3681.0,1
134,2021-09-14T03:55:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,15600.0,1
136,2021-11-11T02:03:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,12519.0,1
137,2021-11-13T12:40:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
138,2021-11-24T06:20:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,670.0,1
139,2021-12-01T23:20:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
140,2021-12-09T06:00:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,330.0,1
141,2021-12-18T12:41:40.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,13260.0,1
142,2021-12-19T03:58:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,3500.0,1
144,2022-01-06T21:49:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
146,2022-01-19T00:04:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
147,2022-01-31T23:11:12.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,2240.0,1
149,2022-02-03T18:13:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
150,2022-02-21T14:44:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
151,2022-02-25T17:12:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,13260.0,1
152,2022-03-03T14:35:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
153,2022-03-09T13:45:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
154,2022-03-19T03:24:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
158,2022-04-21T15:16:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
160,2022-04-29T21:27:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
161,2022-05-06T09:42:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
162,2022-05-13T22:07:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,13260.0,1
163,2022-05-14T20:40:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
164,2022-05-18T10:40:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
166,2022-06-08T21:04:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,3938.0,1
167,2022-06-01T17:08:50.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
168,2022-06-18T14:19:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,2200.0,1
169,2022-06-19T04:27:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,700.0,1
170,2022-06-29T21:04:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,3500.0,1
171,2022-07-07T13:11:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
172,2022-07-11T01:39:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,13260.0,0
174,2022-07-17T14:50:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
175,2022-07-21T17:13:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,13260.0,1
176,2022-07-24T00:00:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
177,2022-08-04T23:08:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,678.0,1
178,2022-08-09T22:57:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
179,2022-08-12T21:30:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,13260.0,1
180,2022-08-19T19:24:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
181,2022-08-28T02:22:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
182,2022-08-31T05:40:00.000Z,Falcon 9,VAFB SLC 4E,Vandenberg Space Force Base,13260.0,1
183,2022-09-05T02:09:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
184,2022-09-11T01:10:00.000Z,Falcon 9,KSC LC 39A,Cape Canaveral,13260.0,1
185,2022-09-17T01:05:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
186,2022-09-24T23:30:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,1
188,2022-11-01T13:41:00.000Z,Falcon Heavy,KSC LC 39A,Cape Canaveral,3700.0,0
188,2022-10-20T14:50:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,13260.0,0
196,2022-11-01T00:00:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,5100.0,0
203,2022-12-01T00:00:00.000Z,Falcon 9,CCSFS SLC 40,Cape Canaveral,5100.0,0
